Rickshaw Carry                                        | Compound  | Forearms    | Other         | Strongman             | Beginner     | 9.6 | Dumbbell farmer's walk                        | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.\n Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.\n
Jumping rope                                          | Compound  | Quadriceps  | Body Only     | Cardio                | Intermediate | 9.2 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Hold an end of the rope in each hand. Position the rope behind you on the ground. Raise your arms up and turn the rope over your head bringing it down in front of you. When it reaches the ground, jump over it. Find a good turning pace that can be maintained. Different speeds and techniques can be used to introduce variation.\n Rope jumping is exciting, challenges your coordination, and requires a lot of energy. A 150 lb person will burn about 350 calories jumping rope for 30 minutes, compared to over 450 calories running.\n
Seated barbell shoulder press                         | Compound  | Shoulders   | Barbell       | Strength              | Intermediate | 9.2 | Machine Shoulder (Military) Press             | Smith machine shoulder press                          | Handstand push-up                                   | Seated dumbbell shoulder press          | -                             | -                        | -                        | -                   | -                     | Sit on a Military Press Bench with a bar behind your head and either have a spotter give you the bar (better on the rotator cuff this way) or pick it up yourself carefully with a pronated grip (palms facing forward). Tip: Your grip should be wider than shoulder width and it should create a 90-degree angle between the forearm and the upper arm as the barbell goes down.\n Once you pick up the barbell with the correct grip length, lift the bar up over your head by locking your arms. Hold at about shoulder level and slightly in front of your head. This is your starting position.\n Lower the bar down to the collarbone slowly as you inhale.\n Lift the bar back up to the starting position as you exhale.\n Repeat for the recommended amount of repetitions.\n
EZ-bar spider curl                                    | Isolation | Biceps      | Barbell       | Strength              | Intermediate | 9.2 | Concentration curl                            | Preacher Curl                                         | Single-arm dumbbell preacher curl                   | -                                       | -                             | -                        | -                        | -                   | -                     | Start out by setting the bar on the part of the preacher bench that you would normally sit on. Make sure to align the barbell properly so that it is balanced and will not fall off.\n Move to the front side of the preacher bench (the part where the arms usually lay) and position yourself to lay at a 45 degree slant with your torso and stomach pressed against the front side of the preacher bench.\n Make sure that your feet (especially the toes) are well positioned on the floor and place your upper arms on top of the pad located on the inside part of the preacher bench.\n Use your arms to grab the barbell with a supinated grip (palms facing up) at about shoulder width apart or slightly closer from each other.\n Slowly begin to lift the barbell upwards and exhale. Hold the contracted position for a second as you squeeze the biceps.\n Slowly begin to bring the barbell back to the starting position as your breathe in. .\n Repeat for the recommended amount of repetitions.\n\nVariation: You can also use dumbbells when performing this exercise. Just make sure you place the dumbbells on the part of the preacher bench where you would normally sit properly.
Smith machine shrug                                   | Isolation | Traps       | Machine       | Strength              | Intermediate | 9.2 | Standing dumbbell shrug                       | Barbell shrug                                         | Calf-Machine Shoulder Shrug                         | -                                       | -                             | -                        | -                        | -                   | -                     | To begin, set the bar height on the smith machine around the middle of your thighs. Once the correct height is chosen and the bar is loaded, grab the bar using a pronated grip (palms facing you) shoulder width apart from each other.\n Lift the barbell up and fully extend your arms with your back straight. This is the starting position.\n While exhaling, elevate the bar by raising your shoulders until they come close to touching your ears.\n Hold the contraction for a second before lowering the bar back down to the starting position while inhaling.\n Repeat for the recommended amount of repetitions.\n
Smith Machine Calf Raise                              | Isolation | Calves      | Machine       | Strength              | Intermediate | 9.2 | Standing Calf Raises                          | Standing barbell calf raise                           | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Place a block or weight plate below the bar on the Smith machine. Set the bar to a position that best matches your height. Once the correct height is chosen and the bar is loaded, step onto the plates with the balls of your feet and place the bar on the back of your shoulders.\n Take the bar with both hands facing forward. Rotate the bar to unrack it. This will be your starting position.\n Raise your heels as high as possible by pushing off of the balls of your feet, flexing your calf at the top of the contraction. Your knees should remain extended. Hold the contracted position for a second before you start to go back down.\n Return slowly to the starting position as you breathe in while lowering your heels.\n Repeat for the recommended amount of repetitions.\n
Romanian Deadlift from Deficit                        | Compound  | Hamstrings  | Barbell       | Olympic Weightlifting | Beginner     | 9.2 | Good Morning                                  | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Begin standing while holding a bar at arm’s length in front of you. You can stand on a raised platform to increase the range of motion.\n Begin by flexing the knees slightly, and then flex at the hip, moving your butt back as far as possible, lowering the torso as far as flexibility allows. The back should remain in absolute extension at all times, and the bar should remain in contact with the legs. If done properly, there should be heavy tension felt in the hamstrings.\n Reverse the motion to return to the starting position.\n
Power Snatch                                          | Compound  | Hamstrings  | Barbell       | Olympic Weightlifting | Beginner     | 9.2 | Hang Snatch                                   | Snatch from Blocks                                    | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Begin with a loaded barbell on the floor. The bar should be close to or touching the shins, and a wide grip should be taken on the bar. The feet should be directly below the hips, with the feet turned out as needed. Lower the hips, with the chest up and the head looking forward. The shoulders should be just in front of the bar. This will be the starting position.\n Begin the first pull by driving through the front of the heels, raising the bar from the ground. The back angle should stay the same until the bar passes the knees.\n Transition into the second pull by extending through the hips knees and ankles, driving the bar up as quickly as possible. The bar should be close to the body. At peak extension, shrug the shoulders and allow the elbows to flex to the side.\n As you move your feet into the receiving position, a slightly wider position, pull yourself below the bar as you elevate the bar overhead. The bar should be received in a partial squat. Continue raising the bar to the overhead position, receiving the bar locked out overhead.\n Return to a standing position with the weight over head.\n
Pushups                                               | Compound  | Chest       | Body Only     | Strength              | Intermediate | 9.2 | Dumbbell Bench Press                          | Barbell Bench Press - Medium Grip                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Lie on the floor face down and place your hands about 36 inches apart while holding your torso up at arms length.\n Next, lower yourself downward until your chest almost touches the floor as you inhale.\n Now breathe out and press your upper body back up to the starting position while squeezing your chest.\n After a brief pause at the top contracted position, you can begin to lower yourself downward again for as many repetitions as needed.\n
Barbell walking lunge                                 | Compound  | Quadriceps  | Barbell       | Strength              | Intermediate | 9.2 | Dumbbell Lunges                               | Alternating lunge jump                                | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Begin standing with your feet shoulder width apart and a barbell across your upper back.\n Step forward with one leg, flexing the knees to drop your hips. Descend until your rear knee nearly touches the ground. Your posture should remain upright, and your front knee should stay above the front foot.\n Drive through the heel of your lead foot and extend both knees to raise yourself back up.\n Step forward with your rear foot, repeating the lunge on the opposite leg.\n
Front Squats With Two Kettlebells                     | Compound  | Quadriceps  | Kettlebells   | Strength              | Beginner     | 9.2 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Clean two kettlebells to your shoulders. Clean the kettlebells to your shoulders by extending through the legs and hips as you pull the kettlebells towards your shoulders. Rotate your wrists as you do so.\n Looking straight ahead at all times, squat as low as you can and pause at the bottom. As you squat down, push your knees out. You should squat between your legs, keeping an upright torso, with your head and chest up.\n Rise back up by driving through your heels and repeat.\n
Spider crawl                                          | Compound  | Abdominals  | Body Only     | Strength              | Intermediate | 9.2 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Begin in a prone position on the floor. Support your weight on your hands and toes, with your feet together and your body straight. Your arms should be bent to 90 degrees. This will be your starting position.\n Initiate the movement by raising one foot off of the ground. Externally rotate the leg and bring the knee toward your elbow, as far forward as possible.\n Return this leg to the starting position and repeat on the opposite side.\n
Power Clean from Blocks                               | Compound  | Hamstrings  | Barbell       | Olympic Weightlifting | Beginner     | 9.2 | Power clean                                   | Hang Clean                                            | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | With a barbell on boxes of the desired height, take a grip just outside the legs. Lower your hips with the weight focused on the heels, back straight, head facing forward, chest up, with your shoulders just in front of the bar. This will be your starting position.\n Begin the first pull by driving through the heels, extending your knees. Your back angle should stay the same, and your arms should remain straight. As the bar approaches the mid-thigh position, begin extending through the hips.\n In a jumping motion, accelerate by extending the hips, knees, and ankles, using speed to move the bar upward. There should be no need to actively pull through the arms to accelerate the weight. At the end of the second pull, the body should be fully extended, leaning slightly back, with the arms still extended.\n As full extension is achieved, transition into the third pull by aggressively shrugging and flexing the arms with the elbows up and out. At peak extension, pull yourself under the bar far enough that it can be racked onto the shoulders, rotating your elbows under the bar as you do so. The bar should be racked onto the protracted shoulders, lightly touching the throat with the hands relaxed.\n Immediately recover by driving through the heels, keeping the torso upright and elbows up. Continue until you have risen to a standing position, and complete the repetition by returning the weight to the boxes.\n
Single Leg Push-off                                   | Isolation | Quadriceps  | Other         | Plyometrics           | Beginner     | 9.2 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Stand on the ground with one foot resting on the box, heel close to the edge.\n Push off with your foot on top of the box, trying to gain as much height as possible by extending through the hip and knee.\n Land with the same foot on top of the box, returning your other foot back to the start position.\n
Hip Circles (Prone)                                   | Isolation | Abductors   | Unknown       | Stretching            | Intermediate | 9.2 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Position yourself on your hands and knees on the ground. Maintaining good posture, raise one bent knee off of the ground. This will be your starting position.\n Keeping the knee in a bent position, rotate the femur in an arc, attempting to make a big circle with your knee.\n Perform this slowly for a number of repetitions, and repeat on the other side.\n
Reverse-grip bent-over row                            | Compound  | Middle Back | Barbell       | Strength              | Intermediate | 9.2 | Dumbbell bent-over row                        | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Stand erect while holding a barbell with a supinated grip (palms facing up).\n Bend your knees slightly and bring your torso forward, by bending at the waist, while keeping the back straight until it is almost parallel to the floor. Tip: Make sure that you keep the head up. The barbell should hang directly in front of you as your arms hang perpendicular to the floor and your torso. This is your starting position.\n While keeping the torso stationary, lift the barbell as you breathe out, keeping the elbows close to the body and not doing any force with the forearm other than holding the weights. On the top contracted position, squeeze the back muscles and hold for a second.\n Slowly lower the weight again to the starting position as you inhale.\n Repeat for the recommended amount of repetitions.\n\nCaution:\n\n This exercise is not recommended for people with back problems. A Low Pulley Row is a better choice for people with back issues.\n Also, just like with the bent knee dead-lift, if you have a healthy back, ensure perfect form and never slouch the back forward as this can cause back injury.\n Be cautious as well with the weight used; in case of doubt, use less weight rather than more.\n
Seated Two-Arm Palms-Up Low-Pulley Wrist Curl         | Isolation | Forearms    | Cable         | Strength              | Beginner     | 9.2 | Seated Dumbbell Palms-Up Wrist Curl           | Seated One-Arm Dumbbell Palms-Up Wrist Curl           | Seated palms-up wrist curl                          | -                                       | -                             | -                        | -                        | -                   | -                     | Put a bench in front of a low pulley machine that has a barbell or EZ Curl attachment on it.\n Move the bench far enough away so that when you bring the handle to the top of your thighs tension is created on the cable due to the weight stack being moved up.\n Now hold the handle with both hands, palms up, using a shoulder-width grip.\n Step back and sit on the bench with your feet about shoulder width apart, firmly on the floor.\n Lean forward and place the forearms on your thighs with the back of your wrists over your knees. This will be your starting position.\n Lower the bar as far as possible, while inhaling and keeping a tight grip.\n Now curl the bar up as high as possible while contracting the forearms. Tip: Only the wrist should move; not the forearms.\n After a second contraction at the top go back to the starting position as you inhale.\n Repeat for the recommended amount of repetitions.\n
Back extension                                        | Isolation | Lower Back  | Body Only     | Strength              | Intermediate | 9.1 | Hyperextensions With No Hyperextension Bench  | Exercise ball weighted hyperextension                 | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Lie face down on a hyperextension bench, tucking your ankles securely under the footpads.\n Adjust the upper pad if possible so your upper thighs lie flat across the wide pad, leaving enough room for you to bend at the waist without any restriction.\n With your body straight, cross your arms in front of you (my preference) or behind your head. This will be your starting position. Tip: You can also hold a weight plate for extra resistance in front of you under your crossed arms.\n Start bending forward slowly at the waist as far as you can while keeping your back flat. Inhale as you perform this movement. Keep moving forward until you feel a nice stretch on the hamstrings and you can no longer keep going without a rounding of the back. Tip: Never round the back as you perform this exercise. Also, some people can go farther than others. The key thing is that you go as far as your body allows you to without rounding the back.\n Slowly raise your torso back to the initial position as you inhale. Tip: Avoid the temptation to arch your back past a straight line. Also, do not swing the torso at any time in order to protect the back from injury.\n Repeat for the recommended amount of repetitions.\n
Close-grip bench press                                | Compound  | Chest       | Barbell       | Strength              | Intermediate | 9.1 | Incline Dumbbell Bench With Palms Facing In   | Chest dip                                             | Reverse-grip bench press                            | -                                       | -                             | -                        | -                        | -                   | -                     | Lie back on a flat bench. Using a close grip (around shoulder width), lift the bar from the rack and hold it straight over you with your arms locked. This will be your starting position.\n As you breathe in, come down slowly until you feel the bar on your middle chest. Tip: Make sure that - as opposed to a regular bench press - you keep the elbows close to the torso at all times in order to maximize triceps involvement.\n After a second pause, bring the bar back to the starting position as you breathe out and push the bar using your triceps muscles. Lock your arms in the contracted position, hold for a second and then start coming down slowly again. Tip: It should take at least twice as long to go down than to come up.\n Repeat the movement for the prescribed amount of repetitions.\n When you are done, place the bar back in the rack.\n\nCaution: If you are new at this exercise, it is advised that you use a spotter. If no spotter is available, then be conservative with the amount of weight used. Also, beware of letting the bar drift too far forward. You want the bar to fall on your middle chest and nowhere else.\n
Cocoons                                               | Isolation | Abdominals  | Body Only     | Strength              | Intermediate | 9.1 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Begin by lying on your back on the ground. Your legs should be straight and your arms extended behind your head. This will be your starting position.\n To perform the movement, tuck the knees toward your chest, rotating your pelvis to lift your glutes from the floor. As you do so, flex the spine, bringing your arms back over your head to perform a simultaneous crunch motion.\n After a brief pause, return to the starting position.\n
Cross-Body Crunch                                     | Isolation | Abdominals  | Body Only     | Strength              | Intermediate | 9.1 | Feet-elevated oblique crunch                  | Butt-Ups                                              | Ab bicycle                                          | -                                       | -                             | -                        | -                        | -                   | -                     | Lie flat on your back and bend your knees about 60 degrees.\n Keep your feet flat on the floor and place your hands loosely behind your head. This will be your starting position.\n Now curl up and bring your right elbow and shoulder across your body while bring your left knee in toward your left shoulder at the same time. Reach with your elbow and try to touch your knee. Exhale as you perform this movement. Tip: Try to bring your shoulder up towards your knee rather than just your elbow and remember that the key is to contract the abs as you perform the movement; not just to move the elbow.\n Now go back down to the starting position as you inhale and repeat with the left elbow and the right knee.\n Continue alternating in this manner until all prescribed repetitions are done.\n\nVariation: You can also do all of your repetitions for one side and then switch to the other side.
Dumbbell Flyes                                        | Isolation | Chest       | Dumbbell      | Strength              | Intermediate | 9.1 | Incline Dumbbell Flyes                        | Cable Crossover                                       | Butterfly                                           | -                                       | -                             | -                        | -                        | -                   | -                     | Lie down on a flat bench with a dumbbell on each hand resting on top of your thighs. The palms of your hand will be facing each other.\n Then using your thighs to help raise the dumbbells, lift the dumbbells one at a time so you can hold them in front of you at shoulder width with the palms of your hands facing each other. Raise the dumbbells up like you're pressing them, but stop and hold just before you lock out. This will be your starting position.\n With a slight bend on your elbows in order to prevent stress at the biceps tendon, lower your arms out at both sides in a wide arc until you feel a stretch on your chest. Breathe in as you perform this portion of the movement. Tip: Keep in mind that throughout the movement, the arms should remain stationary; the movement should only occur at the shoulder joint.\n Return your arms back to the starting position as you squeeze your chest muscles and breathe out. Tip: Make sure to use the same arc of motion used to lower the weights.\n Hold for a second at the contracted position and repeat the movement for the prescribed amount of repetitions.\n
Hammer Curls                                          | Isolation | Biceps      | Dumbbell      | Strength              | Intermediate | 9.1 | Preacher Hammer Dumbbell Curl                 | Alternate Hammer Curl                                 | Cross-body hammer curl                              | -                                       | -                             | -                        | -                        | -                   | -                     | Stand up with your torso upright and a dumbbell on each hand being held at arms length. The elbows should be close to the torso.\n The palms of the hands should be facing your torso. This will be your starting position.\n Now, while holding your upper arm stationary, exhale and curl the weight forward while contracting the biceps. Continue to raise the weight until the biceps are fully contracted and the dumbbell is at shoulder level. Hold the contracted position for a brief moment as you squeeze the biceps. Tip: Focus on keeping the elbow stationary and only moving your forearm.\n After the brief pause, inhale and slowly begin the lower the dumbbells back down to the starting position.\n Repeat for the recommended amount of repetitions.\n
Incline dumbbell bench press                          | Compound  | Chest       | Dumbbell      | Strength              | Intermediate | 9.1 | Smith Machine Incline Bench Press             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Lie back on an incline bench with a dumbbell in each hand atop your thighs. The palms of your hands will be facing each other.\n Then, using your thighs to help push the dumbbells up, lift the dumbbells one at a time so that you can hold them at shoulder width.\n Once you have the dumbbells raised to shoulder width, rotate your wrists forward so that the palms of your hands are facing away from you. This will be your starting position.\n Be sure to keep full control of the dumbbells at all times. Then breathe out and push the dumbbells up with your chest.\n Lock your arms at the top, hold for a second, and then start slowly lowering the weight. Tip Ideally, lowering the weights should take about twice as long as raising them.\n Repeat the movement for the prescribed amount of repetitions.\n When you are done, place the dumbbells back on your thighs and then on the floor. This is the safest manner to release the dumbbells.\n
Low-cable cross-over                                  | Isolation | Chest       | Cable         | Strength              | Intermediate | 9.1 | Dumbbell Flyes                                | Butterfly                                             | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | To move into the starting position, place the pulleys at the low position, select the resistance to be used and grasp a handle in each hand.\n Step forward, gaining tension in the pulleys. Your palms should be facing forward, hands below the waist, and your arms straight. This will be your starting position.\n With a slight bend in your arms, draw your hands upward and toward the midline of your body. Your hands should come together in front of your chest, palms facing up.\n Return your arms back to the starting position after a brief pause.\n
Single-arm high-cable side bend                       | Isolation | Abdominals  | Cable         | Strength              | Intermediate | 9.1 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Connect a standard handle to a tower. Move cable to highest pulley position.\n Stand with side to cable. With one hand, reach up and grab handle with underhand grip.\n Pull down cable until elbow touches your side and the handle is by your shoulder.\n Position feet hip-width apart. Place free hand on hip to help gauge pivot point.\n Keep arm in static position. Contract oblique to bring the weight down in a side crunch.\n Once you reach maximum contraction, slowly release the weight to the starting position. The weight stack should never be unloaded in a resting position. The aim is constant tension during the set.\n Repeat to failure.\n Then, reposition and repeat the same series of movements on the opposite side.\n\nTip: Keep your arm tucked in tight to your side; don’t move it. This technique will ensure the weight is isolated directly to the obliques and not your biceps or shoulder.
Seated Dumbbell Press                                 | Compound  | Shoulders   | Dumbbell      | Strength              | Intermediate | 9.1 | Smith machine shoulder press                  | Handstand push-up                                     | Barbell Shoulder Press                              | -                                       | -                             | -                        | -                        | -                   | -                     | Grab a couple of dumbbells and sit on a military press bench or a utility bench that has a back support on it as you place the dumbbells upright on top of your thighs.\n Clean the dumbbells up one at a time by using your thighs to bring the dumbbells up to shoulder height at each side.\n Rotate the wrists so that the palms of your hands are facing forward. This is your starting position.\n As you exhale, push the dumbbells up until they touch at the top.\n After a second pause, slowly come down back to the starting position as you inhale.\n Repeat for the recommended amount of repetitions.\n
Standing dumbbell shoulder press                      | Compound  | Shoulders   | Dumbbell      | Strength              | Intermediate | 9.1 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Standing with your feet shoulder width apart, take a dumbbell in each hand. Raise the dumbbells to head height, the elbows out and about 90 degrees. This will be your starting position.\n Maintaining strict technique with no leg drive or leaning back, extend through the elbow to raise the weights together directly above your head.\n Pause, and slowly return the weight to the starting position.\n
EZ-Bar Curl                                           | Isolation | Biceps      | E-Z Curl Bar  | Strength              | Intermediate | 9.1 | Barbell Curl                                  | Dumbbell Alternate Bicep Curl                         | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Stand up straight while holding an EZ curl bar at the wide outer handle. The palms of your hands should be facing forward and slightly tilted inward due to the shape of the bar. Keep your elbows close to your torso. This will be your starting position.\n Now, while keeping your upper arms stationary, exhale and curl the weights forward while contracting the biceps. Focus on only moving your forearms.\n Continue to raise the weight until your biceps are fully contracted and the bar is at shoulder level. Hold the top contracted position for a moment and squeeze the biceps.\n Then inhale and slowly lower the bar back to the starting position.\n Repeat for the recommended amount of repetitions.\n
Olympic Squat                                         | Compound  | Quadriceps  | Barbell       | Olympic Weightlifting | Beginner     | 9.1 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Begin with a barbell supported on top of the traps. The chest should be up, and the head facing forward. Adopt a hip width stance with the feet turned out as needed.\n Descend by flexing the knees, refraining from moving the hips back as much as possible. This requires that the knees travel forward; ensure that they stay aligned with the feet. The goal is to keep the torso as upright as possible. Continue all the way down, keeping the weight on the front of the heel.\n At the moment the upper legs contact the lower, reverse the motion, driving the weight upward.\n
Natural Glute Ham Raise                               | Isolation | Hamstrings  | Body Only     | Strength              | Beginner     | 9.1 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Using the leg pad of a lat pulldown machine or a preacher bench, position yourself so that your ankles are under the pads, knees on the seat, and you are facing away from the machine. You should be upright and maintaining good posture.\n This will be your starting position. Lower yourself under control until your knees are almost completely straight.\n Remaining in control, raise yourself back up to the starting position.\n If you are unable to complete a rep, use a band, a partner, or push off of a box to aid in completing a repetition.\n
Axle Deadlift                                         | Compound  | Lower Back  | Other         | Strongman             | Beginner     | 9.1 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Approach the bar so that it is centered over your feet. You feet should be about hip width apart. Bend at the hip to grip the bar at shoulder width, allowing your shoulder blades to protract. Typically, you would use an over/under grip.\n With your feet and your grip set, take a big breath and then lower your hips and flex the knees until your shins contact the bar. Look forward with your head, keep your chest up and your back arched, and begin driving through the heels to move the weight upward.\n After the bar passes the knees, aggressively pull the bar back, pulling your shoulder blades together as you drive your hips forward into the bar.\n Lower the bar by bending at the hips and guiding it to the floor.\n
Zottman Curl                                          | Isolation | Biceps      | Unknown       | Strength              | Intermediate | 9.1 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Stand up with your torso upright and a dumbbell in each hand being held at arms length. The elbows should be close to the torso.\n Make sure the palms of the hands are facing each other. This will be your starting position.\n While holding the upper arm stationary, curl the weights while contracting the biceps as you breathe out. Only the forearms should move. Your wrist should rotate so that you have a supinated (palms up) grip. Continue the movement until your biceps are fully contracted and the dumbbells are at shoulder level.\n Hold the contracted position for a second as you squeeze the biceps.\n Now during the contracted position, rotate your wrist until you now have a pronated (palms facing down) grip with the thumb at a higher position than the pinky.\n Slowly begin to bring the dumbbells back down using the pronated grip.\n As the dumbbells close your thighs, start rotating the wrist so that you go back to a neutral (palms facing your body) grip.\n Repeat for the recommended amount of repetitions.\n
Glute ham raise-                                      | Isolation | Hamstrings  | None          | Strength              | Beginner     | 9.1 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | You can use a partner for this exercise or brace your feet under something stable.\n Begin on your knees with your upper legs and torso upright. If using a partner, they will firmly hold your feet to keep you in position. This will be your starting position.\n Lower yourself by extending at the knee, taking care to NOT flex the hips as you go forward.\n Place your hands in front of you as you reach the floor. This movement is very difficult and you may be unable to do it unaided. Use your arms to lightly push off the floor to aid your return to the starting position.\n
Single-arm lateral raise                              | Isolation | Shoulders   | Dumbbell      | Strength              | Intermediate | 9.1 | Lateral Raise - With Bands                    | Power Partials                                        | Seated Side Lateral Raise                           | -                                       | -                             | -                        | -                        | -                   | -                     | Pick a dumbbell and place it in one of your hands. Your non lifting hand should be used to grab something steady such as an incline bench press. Lean towards your lifting arm and away from the hand that is gripping the incline bench as this will allow you to keep your balance.\n Stand with a straight torso and have the dumbbell by your side at arm’s length with the palm of the hand facing you. This will be your starting position.\n While maintaining the torso stationary (no swinging), lift the dumbbell to your side with a slight bend on the elbow and your hand slightly tilted forward as if pouring water in a glass. Continue to go up until you arm is parallel to the floor. Exhale as you execute this movement and pause for a second at the top.\n Lower the dumbbell back down slowly to the starting position as you inhale.\n Repeat for the recommended amount of repetitions.\n Switch arms and repeat the exercise.\n
Power Partials                                        | Isolation | Shoulders   | Dumbbell      | Strength              | Beginner     | 9.1 | Single-arm lateral raise                      | Lateral Raise - With Bands                            | Seated Side Lateral Raise                           | -                                       | -                             | -                        | -                        | -                   | -                     | Stand up with your torso upright and a dumbbell on each hand being held at arms length. The elbows should be close to the torso.\n The palms of the hands should be facing your torso. Your feet should be about shoulder width apart. This will be your starting position.\n Keeping your arms straight and the torso stationary, lift the weights out to your sides until they are about shoulder level height while exhaling.\n Feel the contraction for a second and begin to lower the weights back down to the starting position while inhaling. Tip: Keep the palms facing down with the little finger slightly higher while lifting and lowering the weights as it will concentrate the stress on your shoulders mainly.\n Repeat for the recommended amount of repetitions.\n
Leverage Shrug                                        | Isolation | Traps       | Machine       | Strength              | Intermediate | 9.1 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Load the pins to an appropriate weight. Position yourself directly between the handles.\n Grasp the top handles with a comfortable grip, and then lower your hips as you take a breath. Look forward with your head and keep your chest up.\n Drive through the floor with your heels, extending your hips and knees as you rise to a standing position. Keep your arms straight throughout the movement, finishing with your shoulders back. This will be your starting position.\n Raise the weight by shrugging the shoulders towards your ears, moving straight up and down.\n Pause at the top of the motion, and then return the weight to the starting position.\n
Cable V-bar push-down                                 | Isolation | Triceps     | Cable         | Strength              | Intermediate | 9.1 | Triceps Pushdown - Rope Attachment            | Triceps Pushdown                                      | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Attach a V-Bar to a high pulley and grab with an overhand grip (palms facing down) at shoulder width.\n Standing upright with the torso straight and a very small inclination forward, bring the upper arms close to your body and perpendicular to the floor. The forearms should be pointing up towards the pulley as they hold the bar. The thumbs should be higher than the small finger. This is your starting position.\n Using the triceps, bring the bar down until it touches the front of your thighs and the arms are fully extended perpendicular to the floor. The upper arms should always remain stationary next to your torso and only the forearms should move. Exhale as you perform this movement.\n After a second hold at the contracted position, bring the V-Bar slowly up to the starting point. Breathe in as you perform this step.\n Repeat for the recommended amount of repetitions.\n
